dept_name,dept_email,dept_address_state,lat,lon
Muscle Shoals Police Department,skipworth@mspolice.org,AL,34.703112,-87.801457
Opelika Police Department,aduke@opelika-al.gov,AL,32.604064,-85.353048
Oxford Police Department,Bill.Partridge@OxfordAL.gov,AL,33.771706,-85.822513
Pelham Police Department,police@pelhamalabama.gov,AL,33.262937,-86.678104
Rainbow City Police Department,police@rbcalabama.com,AL,33.951508,-86.044334
Sheffield Police Department,admin@sheffieldpolice.org,AL,34.703112,-87.801457
Trussville Police Department,dmorrette@trussville.org,AL,33.553444,-86.896536
Tuscaloosa Police Department,police@tuscaloosa.com,AL,33.1771321,-87.5064263
Vestavia Hills Police Department,desksgt@vhal.org,AL,33.553444,-86.896536
Beebe Police Department,swballew@beebeark.org,AR,35.0700377,-91.8815448
Bella Vista Police Department,jgraves@bellavistaar.gov,AR,36.337825,-94.256187
Bentonville Police Department,Ray.Shastid@bentonville.Arkansas.gov,AR,36.38833,-94.21991
Bryant Police Department,cminden@cityofbryant.com,AR,34.61423,-92.49969
Camden Police Department,dwetherbee@camdenpolice.com,AR,33.577393,-92.834
Fayetteville Police Department,police@fayetteville-ar.gov,AR,36.06085,-94.15727
Forrest City Police Department,police@cityofforrestcityar.com,AR,35.010025,-90.78682
Fort Smith Police Department,info@fortsmithpd.org,AR,35.38317,-94.4234
Greenwood Police Department,greenwoodpdoffice@gwark.com,AR,35.196981,-94.274989
Helenawest Helena Police Department,policechief@helena-westhelena.us,AR,34.54406,-90.649284
Hope Police Department,jwilson@hopearkansas.net,AR,33.728611,-93.665809
Jonesboro Police Department,jpd@jonesboro.org,AR,35.838394,-90.70817
Malvern Police Department,dtaber@malvernar.gov,AR,34.356274,-92.80937
Marion Police Department,mpd401@marionpolice.us,AR,35.211878,-90.315331
Maumelle Police Department,cpickard@maumellepd.com,AR,34.773988,-92.316515
Newport Police Department,aedwardsnewportpolice@gmail.com,AR,35.596605,-91.223178
North Little Rock Police Department,Patroladmin@nlrpolice.org,AR,34.77923,-92.26978
Paragould Police Department,todd.stovall@paragouldcity.org,AR,36.119922,-90.565241
Rogers Police Department,Police@rogersar.gov,AR,36.337825,-94.256187
Russellville Police Department,dewing@rsvlar.org,AR,35.28542,-93.13359
Searcy Police Department,shernadez@cityofsearcy.org,AR,35.2498467,-91.7408779
Sherwood Police Department,chief@sherwoodpolice.org,AR,34.832664,-92.209816
Siloam Springs Police Department,PoliceDept@siloamsprings.com,AR,36.18789,-94.54058
Stuttgart Police Department,stuttgartchiefofpolice@outlook.com,AR,34.498188,-91.55266
Van Buren Police Department,jwear@vanburencity.org,AR,35.438732,-94.348175
West Memphis Police Department,bradleyb@westmemphisar.gov,AR,35.146515,-90.17703
White Hall Police Department,gshapiro@wharpd.org,AR,34.2737396,-92.0916196
Wynne Police Department,rdennis@cityofwynne.com,AR,35.223675,-90.78702
Avondale Police Department,EmailPoliceDepartment@avondaleaz.gov,AZ,33.346541,-112.495534
Bullhead City Police Department,records@bullheadcityaz.gov,AZ,35.1007725,-114.603932
Camp Verde Marshals Office,corey.rowley@campverde.az.gov,AZ,34.630044,-112.573745
Casa Grande Police Department,chiefofpolice@casagrandeaz.gov,AZ,32.878384,-111.751495
Chandler Police Department,Sean.Duggan@chandleraz.gov,AZ,33.3013363,-111.8379479
Cottonwood Police Department,jmathe@cottonwoodaz.gov,AZ,34.735905,-112.02273
El Mirage Police Department,pmarzocca@elmirageaz.gov,AZ,33.346541,-112.495534
Flagstaff Police Department,dmusselman@flagstaffaz.gov,AZ,35.1879494,-111.6418356
Gilbert Police Department,GPDcommunity@gilbertaz.gov,AZ,33.3303454,-111.7886783
Glendale Police Department,police_pio@glendaleaz.com,AZ,33.537655,-112.1822647
Kingman Police Department,adminpd@cityofkingman.gov,AZ,35.190815,-114.053375
Lake Havasu City Police Department,police@lhcaz.gov,AZ,34.47879,-114.31841
Mesa Police Department,police.info@mesaaz.gov,AZ,33.4183833,-111.8375752
Page Police Department,PolicePIO@pageaz.gov,AZ,35.829692,-111.773728
Paradise Valley Police Department,PWingert@paradiseValleyaz.gov,AZ,33.531094,-111.94291
Payson Police Department,paysonpd@paysonaz.gov,AZ,34.242653,-111.322914
Peoria Police Department,policedept@peoriaaz.gov,AZ,33.346541,-112.495534
Phoenix Police Department,aimee.smith@phoenix.gov,AZ,33.4487123,-112.0818697
Sahuarita Police Department,jnoland@sahuaritaaz.gov,AZ,32.128238,-111.783018
San Luis Police Department,rjessup@sanluisaz.gov,AZ,32.773942,-113.910905
Scottsdale Police Department,jwalther@scottsdaleaz.gov,AZ,33.4943697,-111.8997296
Sedona Police Department,chusted@sedonaaz.gov,AZ,34.865772,-111.81422
Show Low Police Department,jshelley@showlowaz.gov,AZ,35.390934,-110.320908
Sierra Vista Police Department,SV.PD@SierraVistaAZ.gov,AZ,31.56594,-110.27322
Winslow Police Department,jhead@winslowaz.gov,AZ,35.026752,-110.70396
Anaheim Police Department,Recordspd@anaheim.net,CA,33.675687,-117.777207
Atwater Police Department,msalvador@atwater.org,CA,37.36044,-120.600685
Bell Gardens Police Department,socialmedia@bgpd.org,CA,33.967304,-118.15043
Berkeley Police Department,police@cityofberkeley.info,CA,37.870537,-122.27298
Beverly Hills Police Department,professionalstandards@beverlyhills.org,CA,34.073654,-118.40051
Blythe Police Department,pbush@cityofblythe.ca.gov,CA,33.612965,-114.59825
Brea Police Department,ahawley@cityofbrea.net,CA,33.917824,-117.889275
Brentwood Police Department,Police@brentwoodca.gov,CA,37.919037,-121.68469
Burbank Police Department,PoliceChief@burbankca.gov,CA,34.196398,-118.261862
Calexico Police Department,police@calexico.ca.gov,CA,32.6695745,-115.4926509
Cathedral City Police Department,jluna@cathedralcity.gov,CA,33.729828,-116.002239
Citrus Heights Police Department,chpd@citrusheights.net,CA,38.680661,-121.2984888
Clayton Police Department,Claytonpolice@claytonpd.com,CA,37.94229,-121.93776
Coalinga Police Department,jgarza@coalinga.com,CA,36.139175,-120.362045
Corning Police Department,twatson@corningpd.org,CA,39.928185,-122.179276
Culver City Police Department,chief.police@culvercity.org,CA,34.0207,-118.39563
Cypress Police Department,cypd@cypressca.org,CA,33.675687,-117.777207
Daly City Police Department,rortiz@dalycity.org,CA,37.691093,-122.472984
Davis Police Department,policeweb@cityofdavis.org,CA,38.679595,-121.902444
Delano Police Department,tdavis@cityofdelano.org,CA,35.346629,-118.729506
Dixon Police Department,chiefofpolice@dixonpolice.org,CA,38.44554,-121.82381
Dublin Police Department,garrett.holmes@dublin.ca.gov,CA,37.648134,-121.913291
East Palo Alto Police Department,apardini@cityofepa.org,CA,37.472054,-122.139496
El Centro Police Department,bjohnson@ecpd.org,CA,32.793327,-115.56443
El Cerrito Police Department,pkeith@ci.el-cerrito.ca.us,CA,37.916363,-122.31207
El Monte Police Department,EMPD@ELMONTEPD.ORG,CA,34.196398,-118.261862
El Segundo Police Department,jbermudez@elsegundo.org,CA,33.919888,-118.41592
Elk Grove Police Department,rrego@elkgrovepd.org,CA,38.450011,-121.340441
Emeryville Police Department,police_department@ci.emeryville.ca.us,CA,37.648134,-121.913291
Escalon Police Department,rlackey@cityofescalon.org,CA,37.935034,-121.272237
Eureka Police Department,EPDRecords@ci.eureka.ca.gov,CA,40.80052,-124.16893
Exeter Police Department,info@exeterpolice.com,CA,36.297142,-119.138405
Fairfield Police Department,dcantrell@fairfield.ca.gov,CA,38.251545,-122.04343
Farmersville Police Department,mkrstic@farmersvillepd.com,CA,36.29776,-119.19875
Fortuna Police Department,cday@ci.fortuna.ca.us,CA,40.597363,-124.155525
Foster City Police Department,policechief@fostercity.org,CA,37.55951,-122.27061
Fountain Valley Police Department,Matt.Sheppard@FountainValley.org,CA,33.70901,-117.95065
Fremont Police Department,fremontpolice@fremont.gov,CA,37.553017,-121.97069
Fullerton Police Department,bclyde@fullertonpd.org,CA,33.870346,-117.92736
Galt Police Department,rsmall@galtpd.com,CA,38.26226,-121.30619
Garden Grove Police Department,police@ggcity.org,CA,33.675687,-117.777207
Gilroy Police Department,pedro.espinoza@ci.gilroy.ca.us,CA,37.0040538,-121.5736577
Glendale Police Department,cpovilaitis@glendaleca.gov,CA,34.14695,-118.24886
Gonzales Police Department,kwise@ci.gonzales.ca.us,CA,36.240107,-121.315573
Grass Valley Police Department,agammelgard@gvpd.net,CA,39.218174,-121.06191
Greenfield Police Department,gallen@ci.greenfield.ca.us,CA,36.32111,-121.2436
Grover Beach Police Department,police@gbpd.org,CA,35.120537,-120.6226
Hawthorne Police Department,pio@hawthorneca.gov,CA,33.919025,-118.35244
Healdsburg Police Department,police@ci.healdsburg.ca.us,CA,38.609367,-122.86905
Hillsborough Police Department,DDAVIS@Hillsborough.net,CA,37.57814,-122.35546
Hollister Police Department,info@police.hollister.ca.us,CA,36.89229,-121.39484
King City Police Department,kboyd@kingcity.com,CA,36.211166,-121.12721
Kingsburg Police Department,neil.dadian@fcle.org,CA,36.761006,-119.655019
La Mesa Police Department,rsweeney@cityoflamesa.us,CA,32.767647,-117.02352
La Verne Police Department,watch_commander@lvpd.org,CA,34.196398,-118.261862
Livingston Police Department,csoria@livingstonpd.org,CA,37.385117,-120.72305
Lodi Police Department,sbrucia@lodi.gov,CA,38.135468,-121.27515
Long Beach Police Department,LBPDPersonnel@longbeach.gov,CA,33.7689617,-118.197423
Los Altos Police Department,police@losaltosca.gov,CA,37.3816531,-122.1136191
Los Angeles Police Department,contact.lapdonline@gmail.com,CA,34.0519458,-118.2445263
Los Gatosmonte Sereno Police Department,Police@LosGatosCA.gov,CA,37.2204701,-121.9791052
Marysville Police Department,csachs@marysvillepd.org,CA,39.270026,-121.34428
Maywood Police Department,records@maywoodpd.org,CA,33.987534,-118.18923
Mcfarland Police Department,jdavis@mcfarlandcity.org,CA,35.67801,-119.23241
Merced Police Department,policedepartment@cityofmerced.org,CA,37.307243,-120.48267
Mill Valley Police Department,pd-info@cityofmillvalley.org,CA,37.90565,-122.57148
Modesto Police Department,MPDChief@modestogov.com,CA,37.636703,-120.99575
Monterey Park Police Department,barchibald@montereypark.ca.gov,CA,34.05978,-118.12597
National City Police Department,chief@nationalcityca.gov,CA,32.67233,-117.10557
Newman Police Department,npd@cityofnewman.com,CA,37.562384,-121.002656
Oakland Police Department,dallison@oaklandca.gov,CA,37.79965,-122.27459
Oceanside Police Department,farmijo@oceansideca.org,CA,33.023604,-116.776117
Palm Springs Police Department,chief@palmspringsca.gov,CA,33.729828,-116.002239
Parlier Police Department,david.cerda@fcle.org,CA,36.761006,-119.655019
Redlands Police Department,ccatren@redlandspolice.org,CA,34.85722,-116.181197
San Bernardino Police Department,Green_Da@sbcity.org,CA,34.85722,-116.181197
San Luis Obispo Police Department,rscott@slocity.org,CA,35.285446,-120.663635
San Marino Police Department,police@smpd.us,CA,34.121788,-118.106316
San Mateo Police Department,police@cityofsanmateo.org,CA,37.551094,-122.30515
San Ramon Police Department,police@sanramon.ca.gov,CA,37.919479,-121.951543
Santa Ana Police Department,SAPD@santa-ana.org,CA,33.675687,-117.777207
Santa Clara Police Department,police@santaclaraca.gov,CA,37.220777,-121.690622
Santa Maria Police Department,police@cityofsantamaria.org,CA,34.94979,-120.43389
Santa Monica Police Department,community.affairs@smgov.net,CA,34.01294,-118.49036
Santa Paula Police Department,Police@spcity.org,CA,34.35691,-119.06136
Scotts Valley Police Department,swalpole@scottsvalley.org,CA,37.049614,-122.017624
Seal Beach Police Department,askacop@sealbeachca.gov,CA,33.675687,-117.777207
Signal Hill Police Department,ccharles@signalhillpd.org,CA,33.7971,-118.16873
Soledad Police Department,damon@cityofsoledad.com,CA,36.240107,-121.315573
South Gate Police Department,darakawa@sogate.org,CA,33.9567023,-118.2051914
South Lake Tahoe Police Department,dstevenson@cityofslt.us,CA,38.933025,-119.97075
Stockton Police Department,police.chief@stocktonca.gov,CA,37.9511708,-121.2900395
Sunnyvale Police Department,pubsfty@sunnyvale.ca.gov,CA,37.220777,-121.690622
Taft Police Department,dmcminn@cityoftaft.org,CA,35.1347471,-119.4417968
Tehachapi Police Department,kkroeger@tehachapipd.com,CA,35.13094,-118.447235
Tracy Police Department,policedept@cityoftracy.org,CA,37.935034,-121.272237
Truckee Police Department,drenfrow@townoftruckee.com,CA,39.295191,-120.773446
Turlock Police Department,tpdadmin@turlock.ca.us,CA,37.562384,-121.002656
Ukiah Police Department,police@cityofukiah.com,CA,39.432388,-123.442881
Union City Police Department,policechief@unioncity.org,CA,37.58882,-122.02747
Upland Police Department,info@uplandpd.org,CA,34.110546,-117.67902
Vacaville Police Department,policeadministration@cityofvacaville.com,CA,38.3504009,-121.9952216
Ventura Police Department,policechief@cityofventura.ca.gov,CA,34.26,-119.2226
Visalia Police Department,lisa.davis@visalia.city,CA,36.32839,-119.29881
Walnut Creek Police Department,records@walnut-creek.org,CA,37.919479,-121.951543
Watsonville Police Department,thomas.sims@cityofwatsonville.org,CA,37.012488,-122.007205
West Covina Police Department,servicearea1@wcpd.org,CA,34.072132,-117.93709
Westminster Police Department,!PD-PIO@westminster-ca.gov,CA,33.75929,-117.986336
Whittier Police Department,pdadmin@cityofwhittier.org,CA,33.9750045,-118.0346185
Woodland Police Department,Derrek.Kaff@cityofwoodland.org,CA,38.679595,-121.902444
Yuba City Police Department,bbaker@yubacity.net,CA,39.144726,-121.641426
Alamosa Police Department,kanderson@ci.alamosa.co.us,CO,37.4765895,-105.8927347
Aurora Police Department,ContactAPD@auroragov.org,CO,39.7118478,-104.813378
Canon City Police Department,jwschick@canoncity.org,CO,38.455658,-105.421438
Castle Rock Police Department,police@CRgov.com,CO,39.37022,-104.85867
Colorado Springs Police Department,Chiefs.Office@coloradosprings.gov,CO,38.82436,-104.822075
Cortez Police Department,chief.police@cortezco.gov,CO,37.35523,-108.574974
Craig Police Department,mcochran@craigpolice.org,CO,40.506866,-107.558464
Crested Butte Marshals Office,cbmarshal@crestedbutte-co.gov,CO,38.8697146,-106.9878231
Cripple Creek Police Department,cbright@cripple-creek.co.us,CO,38.746729,-105.180218
Delta Police Department,pdinfo@cityofdelta.net,CO,38.74036,-108.072365
Denver Police Department,dpdpio@denvergov.org,CO,39.737676,-104.9924314
Englewood Police Department,swatson@englewoodco.gov,CO,39.6511338,-104.9943358
Erie Police Department,pdcommandstaff@erieco.gov,CO,40.555794,-104.383649
Federal Heights Police Department,dvallero@fedheights.org,CO,39.859097,-105.01396
Firestone Police Department,bborders@firestoneco.gov,CO,40.555794,-104.383649
Fort Morgan Police Department,loren.sharp@cityoffortmorgan.com,CO,40.25126,-103.78875
Golden Police Department,jharvey@cityofgolden.net,CO,39.75706,-105.22413
Grand Junction Police Department,GJPD@gjcity.org,CO,39.0648303,-108.5632918
Greeley Police Department,Teri.Gutierrez@greeleypd.com,CO,40.4243508,-104.7269379
Greenwood Village Police Department,dvarney@greenwoodvillage.com,CO,39.644632,-104.331733
Johnstown Police Department,pdadmin@johnstownco.gov,CO,40.555794,-104.383649
Lafayette Police Department,police@lafayetteco.gov,CO,39.987686,-105.09051
Lakewood Police Department,LPDRecruiting@lakewoodco.org,CO,39.708225,-105.08569
Lamar Police Department,kyle.miller@ci.lamar.co.us,CO,38.084953,-102.618866
Lochbuie Police Department,tmccoy@lochbuie.org,CO,40.010933,-104.71616
Miliken Police Department,bgarcia@millikenco.gov,CO,40.555794,-104.383649
Northglenn Police Department,police@northglenn.org,CO,39.9123808,-104.9783933
Parker Police Department,police@parkeronline.org,CO,39.326435,-104.926199
Steamboat Springs Police Department,jstabile@steamboatsprings.net,CO,40.483155,-106.985274
Sterling Police Department,police@sterlingcolo.com,CO,40.6289181,-103.2071118
Vail Police Department,vailpolice@vailgov.com,CO,39.6439329,-106.3797702
Wheat Ridge Police Department,officeofthechief@ci.wheatridge.co.us,CO,39.758446,-105.07984
Woodland Park Police Department,shasler@city-woodlandpark.org,CO,38.871994,-105.182552
Ansonia Police Department,Acota@ansoniact.org,CT,41.33309,-73.07276
Avon Police Department,jer1247@avonct.gov,CT,41.8110784,-72.8362237
Berlin Police Department,policechief@berlinpd.org,CT,41.62753,-72.770615
Bethel Police Department,spugner@bethelpd.com,CT,41.227399,-73.366523
Branford Police Department,jmulhern@branfordpolice.com,CT,41.280483,-72.81397
Bridgeport Police Department,bptctpd@bridgeportct.gov,CT,41.1817059,-73.1927629
Bristol Police Department,briangould@bristolct.gov,CT,41.670544,-72.94299
Brookfield Police Department,jpurcell@brookfieldct.gov,CT,41.467785,-73.40296
Canton Police Department,carciero@townofcantonct.org,CT,41.82199,-72.92377
Clinton Police Department,VDeMaio@clintonct.org,CT,41.278084,-72.523766
Coventry Police Department,jspadjinske@coventryct.org,CT,41.780262,-72.312584
Cromwell Police Department,chief.lamontagne@cromwellpd.com,CT,41.595985,-72.6463
Danbury Police Department,m.leonard@danbury-ct.gov,CT,41.40037,-73.45838
Derby Police Department,facebook@derbypd.org,CT,41.323452,-73.086716
East Haddam Police Department,police@easthaddam.org,CT,41.434525,-72.524227
East Hartford Police Department,Ssansom@easthartfordct.gov,CT,41.78032,-72.611305
East Haven Police Department,elennon@easthavenpolice.com,CT,41.29254,-72.86689
Enfield Police Department,afox@enfield.org,CT,41.99931,-72.59431
Fairfield Police Department,jbucherati@fairfieldct.org,CT,41.139725,-73.25669
Glastonbury Police Department,corey.davis@glastonbury-ct.gov,CT,41.806053,-72.732916
Groton City Police Department,policedept@cityofgroton-ct.gov,CT,41.35508,-72.0722
Groton Town Police Department,POLICERECORDS@GROTON-CT.GOV,CT,41.343468,-72.01095
Hartford Police Department,PoliceChief@hartford.gov,CT,41.806053,-72.732916
Madison Police Department,infopd@madisonct.org,CT,41.294643,-72.57503
Manchester Police Department,darbyw@manchesterct.gov,CT,41.783634,-72.51181
Middletown Police Department,policeinfo@middletownctpolice.com,CT,41.557114,-72.64751
Milford Police Department,mkrusewski@milfordct.gov,CT,41.349717,-72.900204
Monroe Police Department,facebook@monroectpolice.com,CT,41.33218,-73.207184
Montville Police Department,ggaldenzi@montvillepolice.org,CT,41.472651,-72.108633
Naugatuck Police Department,INFO@naugatuckpd.org,CT,41.504784,-73.054276
New Britain Police Department,info@newbritainpolice.org,CT,41.667534,-72.77737
New Canaan Police Department,leon.krolikowski@newcanaanct.gov,CT,41.14095,-73.49129
New Haven Police Department,RDominguez@newhavenct.gov,CT,41.28382,-72.868744
Newington Police Department,sclark@newingtonct.gov,CT,41.697254,-72.729836
North Branford Police Department,halloran@nbpolicect.org,CT,41.349717,-72.900204
North Haven Police Department,policechief@northhaven-ct.gov,CT,41.387096,-72.8615
Norwalk Police Department,policehqunit@norwalkct.org,CT,41.096684,-73.42238
Norwich Police Department,pdaley@cityofnorwich.org,CT,41.516167,-72.08029
Orange Police Department,opdrecords@orange-ct.gov,CT,41.349717,-72.900204
Plainville Police Department,vanghele@plainville-ct.gov,CT,41.673176,-72.865486
Plymouth Police Department,kkrasicky@plymouthct.us,CT,41.791883,-73.235404
Prospect Police Department,ltabarzua@prospectpolice.org,CT,41.349717,-72.900204
Putnam Police Department,christopher.ferace@putnampolice.com,CT,41.9213,-71.91015
Ridgefield Police Department,rpdchief@ridgefieldct.org,CT,41.28048,-73.49382
Rocky Hill Police Department,bklett@rockyhillct.gov,CT,41.66597,-72.638336
Shelton Police Department,robert.kozlowsky@sheltonpolice.org,CT,41.320045,-73.11258
Simsbury Police Department,NBoulter@pd.simsbury-ct.gov,CT,41.88075,-72.79997
Somers Police Department,police@somersct.gov,CT,41.858081,-72.340978
Southington Police Department,RecordsRequests@SouthingtonPolice.org,CT,41.621525,-72.87579
Stafford Police Department,duncan@staffordct.org,CT,41.858081,-72.340978
Suffield Police Department,rbrown@suffieldct.gov,CT,41.98631,-72.68829
Thomaston Police Department,contacttpd@thomastonct.org,CT,41.791883,-73.235404
Torrington Police Department,WBaldwin@TorringtonPD.org,CT,41.812046,-73.12125
Vernon Police Department,tips@vernon-ct.gov,CT,41.839462,-72.46484
West Hartford Police Department,VRiddick@WestHartfordCT.gov,CT,41.75906,-72.73901
West Haven Police Department,questions@whpd.com,CT,41.2733593,-72.9644349
Westport Police Department,westportpd@westportct.gov,CT,41.140804,-73.3617
Winchester Police Department,wfitzgerald@townofwinchester.org,CT,41.871433,-72.96484
Windsor Locks Police Department,eosanitsch@windsorlockspolice.com,CT,41.928047,-72.6476
Wolcott Police Department,estephens@wolcottpolice.org,CT,41.578514,-72.98141
Dover Police Department,contact@doverpolice.org,DE,39.097088,-75.502982
Middletown Police Department,heidi.menasco@cj.state.de.us,DE,39.44838,-75.71802
Milford Police Department,kenneth.brown@CJ.State.DE.us,DE,38.91612,-75.42161
Newark Police Department,PTiernan@newark.de.us,DE,39.575915,-75.644132
Seaford Police Department,marshall.craft@cj.state.de.us,DE,38.65286,-75.61424
Wilmington Police Department,anthony.bowers@cj.state.de.us,DE,39.73873,-75.548965
Altamonte Springs Police Department,DLSmutz@Altamonte.org,FL,28.665546,-81.359795
Apopka Police Department,police@apopka.net,FL,28.670673,-81.50905
Arcadia Police Department,manderson@arcadia-fl.gov,FL,27.190581,-81.806253
Atlantic Beach Police Department,vgualillo@coab.us,FL,30.333538,-81.4022
Aventura Police Department,bentolilam@aventurapolice.com,FL,25.955603,-80.13054
Bartow Police Department,bdorman.pd@cityofbartow.net,FL,27.901537,-81.84344
Boca Raton Police Department,chiefsoffice@myboca.us,FL,26.35139,-80.08977
Casselberry Police Department,cpdcommunityrelations@casselberry.org,FL,28.690079,-81.13198
Clearwater Police Department,daniel.slaughter@myclearwater.com,FL,27.96386,-82.797905
Clermont Police Department,cbroadway@clermontfl.org,FL,28.764113,-81.712282
Clewiston Police Department,chief@clewiston-fl.gov,FL,26.752415,-80.935234
Cocoa Beach Police Department,Police@cityofcocoabeach.com,FL,28.318039,-80.61011
Coral Gables Police Department,ehudak@coralgables.com,FL,25.746216,-80.26053
Crestview Police Department,recordsrequest@crestviewpd.org,FL,30.773064,-86.56281
Delray Beach Police Department,whitet@mydelraybeach.com,FL,26.4609043,-80.0764536
Doral Police Department,info@doralpd.com,FL,25.8292122,-80.3586439
Edgewater Police Department,jmahoney@cityofedgewater.org,FL,29.057698,-81.161804
Eustis Police Department,eustispolice@ci.eustis.fl.us,FL,28.764113,-81.712282
Florida City Police Department,ptaylor@flcitypd.com,FL,25.44781,-80.48214
Fort Myers Police Department,fmpdpio@fmpolice.com,FL,26.639778,-81.868385
Green Cove Springs Police Department,dasdot@gcspd.com,FL,29.993206,-81.67696
Groveland Police Department,shawn.ramsey@groveland-fl.gov,FL,28.561514,-81.8591
Gulfport Police Department,rvincent@mygulfport.us,FL,27.903122,-82.739518
Haines City Police Department,jelensky@hainescitypd.com,FL,28.1145029,-81.6406179
Hallandale Beach Police Department,police@hallandalebeachfl.gov,FL,25.981018,-80.14207
Hialeah Police Department,gfuente@hialeahfl.gov,FL,25.873285,-80.26692
Hollywood Police Department,socialmedia@hollywoodfl.org,FL,26.0107618,-80.1882201
Homestead Police Department,fmorales@homesteadpolice.com,FL,25.610494,-80.499045
Jupiter Police Department,1171@jupiter.fl.us,FL,26.645763,-80.448673
Key Biscayne Police Department,webmaster@kbpd.net,FL,25.691172,-80.16555
Key West Police Department,tpoitier@cityofkeywest-fl.gov,FL,25.601043,-81.206777
Kissimmee Police Department,kpdpio@kissimmee.gov,FL,28.29204,-81.4078
Lady Lake Police Department,rtempesta@ladylake.org,FL,28.931673,-81.929245
Lake City Police Department,gilmorea@lcfla.com,FL,30.221333,-82.623168
Lake Wales Police Department,lwpd@lakewalesfl.gov,FL,27.900166,-81.58885
Lauderhill Police Department,LauderhillPDPIO@lauderhill-fl.gov,FL,26.164854,-80.23237
Leesburg Police Department,police.records@leesburgflorida.gov,FL,28.764113,-81.712282
Lighthouse Point Police Department,rlicata@lighthousepoint.com,FL,26.193535,-80.476683
Lynn Haven Police Department,policedept@cityoflynnhaven.com,FL,30.237333,-85.64769
Maitland Police Department,dmanuel@maitlandpd.org,FL,28.625982,-81.3649903
Melbourne Police Department,police@mlbfl.org,FL,28.1172404,-80.6388916
Miami Beach Police Department,offduty@miamibeachfl.gov,FL,25.782426,-80.133413
Milton Police Department,miltonpdadmin@flcjn.net,FL,30.703633,-87.014255
Miramar Police Department,lburgess@miramarpd.org,FL,26.193535,-80.476683
Mount Dora Police Department,meadeb@cityofmountdora.com,FL,28.807991,-81.64475
Naples Police Department,police@naplesgov.com,FL,26.152243,-81.78984
New Port Richey Police Department,bogartk@cityofnewportrichey.org,FL,28.255634,-82.718185
New Smyrna Beach Police Department,jwoodworth@cityofnsb.com,FL,29.0475117,-80.9407628
Niceville Police Department,pdadmin@niceville.org,FL,30.524807,-86.475648
North Bay Village Police Department,cnoriega@nbvillage.com,FL,25.610494,-80.499045
North Palm Beach Police Department,police@village-npb.org,FL,26.645763,-80.448673
North Port Police Department,tgarrison@northportpd.com,FL,27.0756464,-82.2080228
Ocala Police Department,MediaRelations@ocalapd.org,FL,29.183275,-82.14036
Ocoee Police Department,PoliceDirector@ocoee.org,FL,28.549383,-81.534546
Opa Locka Police Department,msteel@opalockapd.com,FL,25.610494,-80.499045
Orange Park Police Department,ggoble@townop.com,FL,30.1650398,-81.7025192
Orlando Police Department,opd@orlando.gov,FL,28.5409758,-81.3833313
Ormond Beach Police Department,jesse.godfrey@ormondbeach.org,FL,29.283648,-81.06058
Oviedo Police Department,AskOviedoPolice@cityofoviedo.net,FL,28.65237,-81.205795
Palatka Police Department,jshaw@palatka-fl.gov,FL,29.648045,-81.64007
Palm Beach Gardens Police Department,DPape@PBGFL.COM,FL,26.830948,-80.10545
Palm Springs Police Department,tceccarelli@vpsfl.org,FL,26.640562,-80.09585
